year,milage,engine_size,price
2013,244039,2.8,54451.95
2019,82031,1.3,63350.66
2009,181450,3.1,48512.74
2000,320000,4.4,47022.11
2008,295890,4.5,56624.45
2011,145143,3.5,62061.35
2014,158680,3.4,66502.1
2017,77534,4.6,77528.24
2006,320000,4.7,56831.43
2016,157302,3.6,68443.21
2017,109220,1.9,64782.5
2020,36306,3.4,84331.11
2014,242311,3.2,52909.11
2021,39418,3.8,87416.18
2005,320000,4.3,49032.64
2019,124290,4.8,82270.6
2001,320000,4.0,45684.83
2002,225746,2.5,37167.77
2023,56630,2.0,72959.64
2012,285141,4.7,62285.33
2016,99648,3.5,75196.27
2016,170027,3.9,77174.56
2018,139094,4.3,82353.05
2006,157988,3.2,52614.71
2004,267254,2.0,43842.58
2001,274430,4.2,53629.99
2023,35683,2.2,73837.45
2006,164282,3.2,60918.01
2015,127521,2.2,63451.46
2012,196298,5.1,68386.81
2004,320000,4.7,52564.63
2011,284723,5.1,67118.4
2002,320000,3.8,40668.36
2004,320000,1.1,35313.37
2003,195636,3.9,53682.1
2022,44910,2.1,75563.78
2015,199297,4.4,70117.36
2024,42170,4.8,92282.69
2011,194112,3.8,59987.53
2005,320000,3.8,48463.72
2016,197558,1.7,57401.9
2025,6476,4.9,95898.1
2014,195064,5.0,69810.3
2000,320000,3.6,40606.47
2008,315600,4.9,58104.96
2024,40564,1.8,76064.93
2013,255510,2.9,56640.77
2025,22744,4.0,92212.88
2013,138058,1.3,55192.31
2000,320000,1.2,31618.42
2023,16049,1.6,79382.04
2020,128096,2.5,70277.2
2019,123825,4.8,76182.75
2026,11090,4.1,91611.63
2005,320000,2.4,39420.6
2024,20885,1.4,73555.24
2006,320000,1.1,33863.55
2026,0,2.9,92909.82
2005,287618,4.4,51905.73
2014,215204,3.1,56909.24
2021,31798,3.9,82769.59
2002,320000,4.7,50431.26
2001,320000,1.9,32020.27
2022,47524,1.9,76212.45
2001,203229,2.5,38652.09
2016,158995,2.7,63104.63
2025,0,3.2,87248.84
2016,134285,3.7,73710.52
2012,197795,4.4,64749.18
2011,186460,3.9,61678.23
2017,92935,1.9,68839.5
2015,104322,3.6,72500.3
2013,141098,4.6,71066.25
2004,320000,1.6,33683.91
2017,62330,3.7,79704.36
2019,126447,3.9,77559.1
2019,63507,4.6,78216.81
2002,259543,3.9,49271.5
2018,142268,1.5,63002.83
2019,53000,5.1,85154.65
2004,320000,4.4,55240.88
2022,35557,1.4,70597.56
2014,228250,3.4,59064.75
2012,141252,2.0,59703.08
2019,71740,3.9,80757.51
2013,207689,3.2,58643.05
2014,159963,3.4,65313.33
2008,320000,3.7,51908.32
2025,16875,1.2,77488.27
2026,1531,3.0,86999.25
2003,224965,3.1,51876.86
2019,111144,1.4,68671.67
2000,235472,2.5,39293.44
2009,153568,3.9,57423.16
2026,0,2.5,83852.9
2004,308603,4.9,53174.71
2010,226701,4.6,60881.44
2005,320000,3.5,52311.5
2019,90967,3.9,77888.82
2012,153149,3.7,59948.52
2016,107072,4.7,76092.99
2025,19734,4.9,100673.69
2014,189852,1.3,56394.55
2019,101514,3.0,68901.38
2002,320000,3.1,35528.68
2005,320000,3.5,50290.96
2025,1200,3.2,89302.03
2023,56458,1.0,75787.86
2017,179186,2.8,61656.47
2010,305175,1.9,42150.76
2005,204215,3.6,53333.03
2022,38811,4.9,86075.03
2021,82249,4.6,79999.65
2006,251795,3.8,53266.13
2015,99247,1.2,54651.34
2016,148330,3.3,69760.4
2012,192081,3.4,62611.14
2025,26662,1.8,84699.66
2003,209101,1.6,39255.5
2006,320000,3.4,49033.43
2002,320000,5.2,52020.01
2018,91387,2.9,70792.43
2017,167715,5.0,75694.35
2026,6189,3.1,84401.46
2014,147411,2.0,61813.47
2004,243502,2.1,40475.57
2012,230096,1.8,52896.28
2002,320000,1.2,32849.19
2018,151962,1.9,59107.78
2018,78040,4.3,77337.44
2023,64793,1.9,74441.94
2009,199200,1.2,43729.14
2008,320000,1.5,40961.79
2001,209397,2.4,34890.51
2011,200665,2.7,58753.26
2012,231872,2.7,58367.06
2020,106084,3.2,78596.55
2020,111715,3.0,73528.7
2003,304588,2.0,39211.68
2007,320000,1.4,40216.21
2013,196359,1.0,49931.72
2009,251207,3.9,52700.1
2000,320000,3.1,37897.3
2022,47741,4.4,88840.39
2019,96706,2.7,71727.1
2014,136577,2.5,62882.96
2008,215790,3.0,47337.56
2022,52348,1.5,74849.53
2000,320000,2.8,33334.63
2012,121891,3.1,66387.43
2021,63779,3.1,76787.76
2025,33579,3.6,93168.02
2006,184751,1.8,54804.28
2017,132852,1.3,62323.9
2005,233181,4.1,54738.29
2003,199315,4.5,56230.89
2009,170602,2.2,57259.86
2023,62684,3.4,78729.37
2018,118374,3.2,67883.51
2013,264934,2.8,53002.33
2007,300810,4.1,56784.37
2003,320000,5.0,48903.65
2007,221564,2.9,52135.93
2004,320000,4.0,48103.83
2005,320000,3.2,43473.02
2018,118494,5.0,78291.91
2003,320000,5.0,52526.73
2001,320000,2.8,38600.4
2014,166341,3.1,64427.29
2007,300062,2.2,46350.82
2012,159981,1.3,57364.44
2003,206554,4.8,54195.88
2005,320000,1.5,36077.07
2011,139885,5.2,78894.48
2018,136894,4.3,76708.38
2011,184166,2.7,54086.07
2014,234564,3.9,65691.8
2014,151091,4.6,72102.44
2007,267972,2.5,46327.05
2007,264437,4.4,56145.68
2011,243459,1.9,49693.93
2000,269326,4.6,54158.21
2018,111229,4.8,81560.72
2016,100073,4.4,76061.66
2008,218254,3.0,50872.66
2010,297257,4.6,54740.87
2008,255392,2.2,49304.37
2017,130725,4.5,77907.85
2020,71522,3.4,75625.91
2002,320000,2.9,39298.46
2011,273408,1.8,50149.08
2000,320000,2.2,34494.15
2012,268536,1.8,48198.66
2006,219872,3.5,53878.64
2009,178698,5.0,66770.86
2012,253725,3.2,60214.05
2008,266018,4.7,60848.71
2010,219811,4.0,64099.27
2020,103867,1.4,64743.9
2021,89673,2.6,70973.16
2000,320000,3.1,37090.17
2010,250075,4.6,58326.95
2022,74305,2.0,65708.32
2014,165063,3.7,65451.87
2005,258401,2.5,46001.34
2016,111292,1.4,58813.02
2003,320000,2.5,35302.88
2000,185537,2.8,45904.0
2017,164049,2.7,64478.97
2013,146887,4.8,72730.67
2020,77239,2.3,72472.97
2009,134952,3.5,66318.34
2023,41621,2.7,82848.5
2011,153993,4.2,61003.36
2019,62139,5.1,84831.17
2002,320000,3.8,48752.73
2002,320000,2.5,36922.08
2021,31281,2.1,72746.4
2022,39629,2.8,79678.88
2025,10874,3.3,86050.11
2008,320000,3.4,38622.9
2000,320000,4.6,50346.91
2026,0,3.5,89792.53
2016,97607,2.2,66245.29
2006,180211,4.4,64188.76
2020,98780,3.0,72481.98
2024,36029,4.5,84491.96
2007,310959,1.4,40682.12
2020,68688,1.7,69398.16
2021,67543,4.3,79025.88
2013,143470,5.1,69022.27
2017,81593,4.2,76291.32
2007,223670,4.6,59101.15
2025,38006,4.3,93669.4
2026,3038,2.4,83619.67
2026,18709,4.1,91784.59
2019,72553,2.4,75939.22
2001,320000,2.6,32268.82
2009,127199,2.5,54314.22
2012,206259,3.0,47513.33
2025,31837,4.3,95283.52
2014,109894,3.5,74471.64
2014,203597,1.1,51591.23
2003,320000,2.2,41716.29
2021,107588,3.0,76774.01
2009,150318,2.1,58263.37
2002,320000,4.4,50983.88
2026,522,3.3,86097.06
2005,246313,3.7,51178.32
2000,320000,3.5,38284.47
2002,265192,4.3,57260.26
2012,171880,2.4,56341.85
2002,320000,3.5,44442.68
2022,48249,1.3,73675.02
2013,182962,5.0,72951.8
2008,320000,4.6,55425.29
2000,265989,1.3,32997.67
2012,278684,2.2,54896.4
2004,320000,2.3,41038.92
2026,4097,3.5,100052.55
2007,230978,1.0,40049.47
2012,119080,3.7,65826.95
2000,320000,2.6,32033.12
2003,238976,4.8,56955.05
2005,264630,3.2,46349.2
2001,320000,1.0,33188.79
2019,103973,2.0,71500.37
2025,0,3.5,87401.24
2026,0,1.9,82033.56
2007,320000,3.3,51092.44
2021,82073,3.8,77832.8
2013,189742,2.2,53797.44
2001,320000,5.1,48070.53
2002,199435,1.0,38427.97
2014,108903,1.1,63153.07
2011,152754,1.2,55301.72
2000,297830,4.3,47512.27
2025,15356,5.2,97241.08
2019,88356,2.9,75614.45
2013,159268,3.4,62148.71
2026,4885,1.7,80560.72
2026,0,1.6,78011.95
2026,0,1.7,85133.71
2006,270842,5.1,60787.96
2023,39042,4.3,91782.65
2013,103146,1.3,55933.2
2019,115363,4.9,74940.09
2023,40992,2.7,78496.82
2004,188899,3.2,50172.55
2012,159074,3.3,58390.96
2003,239504,1.8,35662.48
2007,221502,4.3,59757.63
2011,128296,1.5,56660.1
2023,58533,4.4,80562.85
2023,37636,1.0,74366.16
2010,312198,1.7,38782.45
2008,214031,2.5,56422.31
2014,147789,2.8,63827.42
2024,40957,4.9,97367.23
2026,0,4.1,91405.59
2006,320000,2.0,46283.72
2005,228599,3.3,47856.86
2019,89237,2.4,69902.48
2008,320000,1.2,38492.97
2005,198417,3.9,54748.29
2000,235403,4.2,45436.92
2010,179395,1.6,49427.16
2010,177707,5.0,67830.58
2015,151792,3.2,67776.88
2005,320000,2.4,39810.83
2019,54904,3.7,78303.48
2018,109445,1.7,61966.01
2012,247645,3.5,59836.55
2004,320000,2.4,41029.65
2013,243573,3.7,60755.94
2018,154258,3.2,70565.45
2010,119451,2.3,53304.76
2007,194268,1.7,45059.37
2013,220796,1.8,55143.62
2009,185650,5.0,67573.02
2010,160902,2.2,50996.44
2009,318258,2.2,49285.14
2008,217681,4.2,60873.59
2019,83951,3.5,77267.97
2012,187669,3.9,66522.76
2012,173608,2.6,57878.97
2017,80182,3.7,77744.66
2009,320000,3.2,49283.63
2002,283081,3.2,43684.48
2023,73682,3.4,78460.23
2001,212316,2.3,41849.95
2015,104909,2.3,61961.45
2007,189973,4.6,60007.44
2005,192387,5.0,62740.7
2001,320000,2.0,38136.79
2024,23827,4.3,92923.79
2011,202844,4.2,63587.51
2009,254521,2.6,52285.42
2020,57855,2.7,74832.81
2001,249959,4.4,47734.72
2015,102348,1.2,58732.74
2013,135874,2.1,60668.23
2014,136371,4.6,74119.48
2003,297452,3.2,42901.7
2025,20169,2.5,86594.77
2006,204891,4.7,54936.39
2018,96696,4.2,75652.39
2020,101621,1.3,65303.05
2009,142552,3.7,68991.42
2003,316522,5.1,52482.78
2008,320000,4.8,54850.45
2021,79120,3.0,72201.88
2024,13236,4.2,95685.88
2025,0,1.8,81733.24
2006,320000,2.4,41945.83
2016,161549,1.1,56658.74
2004,320000,1.5,35543.91
2019,113358,4.6,76785.9
2011,263166,2.0,48128.75
2019,61200,1.6,70330.53
2018,115616,3.5,75978.23
2026,0,2.4,88961.68
2013,184803,1.8,56291.74
2009,126131,1.4,49767.44
2014,229825,5.2,67655.81
2004,221040,4.8,55863.9
2003,320000,1.6,36386.78
2014,238088,2.5,55468.21
2022,29530,1.2,69529.73
2014,134510,3.1,62751.95
2021,36146,4.4,89657.37
2004,305599,1.6,41145.56
2012,147680,3.5,67922.4
2016,160634,1.3,60715.68
2009,249517,3.4,55684.91
2000,230304,2.5,42499.04
2001,320000,3.5,46627.11
2025,1082,2.4,80889.91
2016,123989,2.6,71244.86
2007,320000,2.1,45502.7
2006,267087,2.2,45895.91
2001,205548,1.7,42038.6
2025,16526,4.4,95924.34
2002,320000,4.9,50195.28
2020,81139,4.5,84638.3
2006,157638,3.4,58747.12
2009,202657,3.6,63844.31
2007,320000,3.9,51885.25
2022,30613,1.0,70744.64
2000,286070,1.0,30419.16
2009,320000,2.5,44603.23
2007,288064,2.7,43444.18
2007,195147,3.7,58145.16
2005,235444,3.3,53992.92
2024,23243,4.1,90315.82
2010,262220,5.0,61399.05
2011,160339,4.1,65086.56
2010,268597,3.0,52167.55
2026,0,4.1,94050.54
2009,167461,2.6,55467.48
2009,257354,3.2,53709.56
2008,307431,1.6,44161.98
2008,301722,2.4,43482.49
2002,250189,3.9,49493.22
2016,121961,4.2,76828.64
2000,206692,2.5,40224.47
2006,176267,3.4,51897.21
2005,272738,3.5,50570.84
2007,280410,4.6,56391.37
2020,107129,1.5,64949.74
2016,187131,2.1,65216.08
2026,22763,4.8,91421.63
2009,317234,2.3,49695.16
2025,13712,2.5,85920.9
2001,320000,5.1,53131.71
2013,139562,3.1,57972.81
2021,67180,2.2,76000.33
2014,94417,2.8,65148.74
2025,2288,3.7,97355.02
2008,282922,1.9,45791.08
2000,280840,4.5,47690.38
2020,85793,3.0,75739.86
2001,320000,2.0,34173.91
2020,90865,4.9,84230.42
2019,76808,2.7,67985.91
2022,73418,1.8,68897.24
2012,176451,2.3,55381.13
2024,222,3.8,93937.47
2004,241761,1.9,44560.93
2011,178491,3.2,55921.48
2003,267090,2.5,39643.87
2020,70899,1.7,73341.25
2019,70476,1.7,69881.98
2021,86303,2.5,77019.14
2020,96342,3.3,77311.8
2008,320000,4.1,59205.89
2001,249203,2.1,35093.76
2025,13383,1.0,80027.52
2013,185028,1.5,53532.19
2002,253242,4.4,53776.43
2025,8601,3.7,90413.72
2026,1574,2.0,83298.59
2012,207496,1.0,52210.18
2020,71345,3.4,80235.65
2000,320000,4.9,51269.94
2002,200170,2.8,48358.16
2007,316194,1.0,34826.26
2017,146951,1.9,61017.7
2003,320000,2.6,38272.7
2000,320000,4.0,43354.68
2018,149228,3.0,66433.25
2020,44743,2.1,70590.38
2019,126875,3.8,75970.25
2021,108206,2.4,68562.68
2021,96750,2.7,73766.85
2016,142508,2.2,61826.24
2014,221701,1.3,49988.11
2023,40430,2.9,82021.34
2009,226301,3.7,60687.62
2002,320000,2.4,34613.01
2020,57820,3.0,73097.33
2007,191044,1.6,45718.0
2026,0,1.7,81854.45
2011,156829,1.0,51893.15
2022,45761,1.3,71427.16
2001,320000,1.9,39240.04
2017,135821,1.4,60471.87
2012,260368,3.5,58182.51
2012,268945,1.5,48141.08
2007,320000,4.5,55242.67
2026,12972,4.9,96319.3
2010,149771,4.4,72424.25
2022,71910,1.3,70288.79
2011,287489,4.7,65268.56
2001,320000,3.1,40263.82
2023,47867,2.9,79724.07
2004,320000,4.1,46179.89
2007,257662,3.9,56681.54
2023,46232,4.1,90152.67
2024,31520,2.3,81084.73
2024,44159,4.9,95764.11
2011,190763,2.6,53101.03
2020,65797,3.6,75350.04
2008,196351,4.1,58648.92
2019,90351,3.2,76819.9
2013,194512,4.2,70618.56
2001,320000,5.2,51430.95
2011,305319,1.9,47607.06
2012,162229,4.1,68250.62
2006,224691,1.8,50104.19
2010,192956,4.9,66830.99
2013,143438,1.4,54912.18
2001,320000,1.8,38462.02
2004,320000,2.4,44117.13
2020,44980,4.8,89727.02
2009,268642,2.4,48645.87
2016,179479,4.3,71743.12
2015,102136,3.8,73094.28
2014,226714,1.7,55383.89
2011,164845,3.5,63963.9
2013,147790,2.0,59854.68
2022,36581,2.9,81158.5
2026,5311,1.4,87950.1
2006,184417,2.8,52207.34
2018,80973,3.2,69808.12
2026,0,1.6,83243.0
2000,320000,1.4,33931.27
2021,57129,4.0,79343.47
2013,121329,3.1,61965.22
2026,0,3.5,95303.17
2015,170956,4.8,65507.8
2022,55169,1.3,69398.31
2004,304447,2.9,45995.18
2003,320000,2.2,37000.21
2025,0,2.2,83281.71
2014,202110,1.6,52499.32
2015,150922,3.6,72298.18
2004,320000,2.4,46658.79
2006,206159,3.9,54790.21
2022,74068,2.0,71797.38
2008,320000,2.8,41976.19
2015,128672,2.6,57615.16
2008,231835,4.8,55544.63
2007,206233,1.7,54842.03
2004,216792,2.8,48971.31
2025,23748,1.7,80911.51
2025,9308,4.1,95070.14
2003,291339,3.0,38447.95
2009,244887,5.0,62824.3
2015,144142,2.9,64928.2
2010,166185,4.6,68498.68
2019,68318,2.6,74077.3
2007,275747,3.2,44554.55
2001,246364,3.7,51237.8
2009,300284,3.9,52520.81
2016,160692,3.8,72005.6
2004,320000,1.6,38920.91
2022,46655,5.0,90567.75
2000,249931,2.7,40429.74
2001,198361,5.0,53711.5
2013,148400,3.6,70725.8
2013,248292,4.8,66944.24
2007,270838,1.9,43460.97
2006,320000,2.8,45550.96
2001,320000,1.8,28885.2
2017,116290,1.7,63133.94
2010,214252,1.0,50797.84
2003,255725,1.1,46487.79
2010,260910,2.2,50948.17
2025,14412,3.7,93066.45
2007,167634,2.8,52667.58
2024,33369,5.2,97766.42
2006,320000,2.5,41253.12
2005,320000,1.1,39599.27
2007,220307,5.0,62980.07
2008,318598,3.0,43675.77
2003,320000,3.0,43705.47
2015,114014,1.8,64766.67
2009,199929,2.1,52849.44
2019,80815,2.8,74004.97
2013,110725,2.4,61759.56
2011,231909,1.4,46531.36
2012,251617,3.0,55069.23
2004,320000,3.1,37311.73
2019,89467,4.0,83069.62
2002,320000,3.2,41495.15
2019,58432,4.7,85456.15
2026,0,3.1,90930.45
2020,108052,2.9,73119.9
2012,291956,2.2,49420.44
2008,320000,5.1,60968.76
2023,20602,2.5,79564.81
2006,320000,4.3,53883.27
2013,162026,2.7,56576.8
2020,99516,3.9,71803.18
2024,9348,1.5,76726.6
2024,26181,4.1,97451.4
2002,320000,4.8,49496.4
2024,38580,3.3,90048.28
2003,320000,1.4,34808.07
2015,85506,3.1,64735.28
2025,28045,2.9,82989.82
2017,192105,5.1,78446.35
2025,0,4.1,94189.84
2009,228156,1.2,46312.18
2008,302080,1.1,35740.65
2008,162044,2.7,51432.61
2009,176979,4.2,64564.19
2018,97344,3.7,78234.03
2012,141722,3.7,66950.84
2019,62278,1.9,71609.19
2011,173253,4.8,63364.81
2008,196530,1.3,47218.99
2005,320000,3.0,41850.66
2014,88144,4.0,76993.86
2024,8074,2.6,88261.52
2023,61515,3.7,79832.7
2006,320000,2.9,48113.08
2012,165368,4.7,66161.26
2019,81132,2.0,68005.83
2016,110973,2.0,63244.05
2001,320000,4.4,46314.68
2015,205869,1.8,55863.78
2001,293042,2.1,39002.32
2003,320000,2.0,33526.56
2017,161964,5.0,78035.98
2002,320000,4.9,43278.89
2009,171023,1.3,45431.57
2015,241237,2.3,54162.14
2017,161002,3.1,67944.12
2012,206023,1.4,49732.33
2002,320000,2.5,38046.54
2021,39575,4.4,92447.02
2025,9881,3.9,85567.11
2023,60714,2.1,78586.96
2020,103133,4.4,82806.98
2010,305377,1.2,42188.06
2023,67088,3.7,81335.25
2013,105009,5.0,74332.16
2003,300342,4.9,56584.17
2022,38465,3.3,82598.38
2008,139205,3.7,61015.88
2025,14819,2.1,77725.88
2009,220285,3.3,54403.4
2023,0,1.3,76291.63
2014,190372,2.1,57871.9
2012,137802,4.9,69899.49
2008,320000,5.1,58893.94
2022,76101,3.9,86104.35
2001,203739,3.0,44945.5
2012,244324,5.2,65557.32
2009,153031,4.0,64898.52
2014,112196,2.1,59849.96
2006,267193,2.5,41736.74
2017,101836,4.3,78069.65
2010,285650,2.0,47655.23
2005,320000,4.0,52641.2
2005,320000,1.5,38090.45
2018,121405,5.2,78764.59
2007,215717,5.1,61181.85
2008,211703,4.3,64273.51
2016,110290,4.0,73789.68
2008,320000,3.2,47271.78
2010,170413,2.8,58205.45
2006,213564,1.0,47563.63
2009,289471,3.1,45674.98
2018,122943,3.0,61805.56
2014,228757,2.4,51755.2
2026,0,1.4,81244.26
2020,74932,3.9,79897.22
2000,320000,5.1,53309.85
2010,315949,2.6,48798.35
2007,320000,4.3,49314.13
2015,215202,4.6,66498.8
2007,300985,4.2,47283.51
2026,0,5.2,102332.33
2008,310950,2.0,44048.5
2014,130023,1.6,59619.55
2003,320000,4.7,53406.96
2024,30059,1.9,81943.12
2024,19568,2.1,80030.33
2021,88995,2.5,74842.58
2009,206180,2.7,55382.49
2001,213026,3.2,45947.34
2019,105484,1.6,67781.98
2011,178949,1.8,52800.38
2026,0,3.0,84954.87
2018,164345,2.7,67463.22
2014,153068,3.8,73082.47
2026,0,3.2,85740.37
2021,38940,2.0,73463.26
2012,233481,3.3,61502.08
2000,320000,3.2,34490.3
2002,263014,5.1,54317.47
2011,263993,2.8,49204.41
2015,174040,2.1,58607.18
2000,320000,3.3,37468.63
2003,308396,2.6,36614.8
2019,137456,4.7,75730.76
2020,99468,2.0,65210.57
2000,320000,2.3,39738.0
2013,133414,3.1,67192.5
2002,320000,4.5,47427.99
2019,98525,3.2,71892.97
2022,66804,4.2,85541.02
2023,51612,4.0,84187.82
2016,180357,2.6,62668.8
2016,154818,2.4,58478.79
2025,0,3.8,98753.79
2016,177308,1.7,58941.21
2012,246508,2.2,50698.34
2020,120406,1.1,64229.72
2015,111662,3.7,66823.16
2022,50921,4.1,88655.9
2014,133067,5.1,80036.79
2023,18841,1.8,75595.65
2001,306087,1.4,29228.96
2000,320000,1.9,32664.59
2002,230569,2.0,43917.63
2015,160302,4.5,73840.88
2019,66282,1.2,66792.48
2005,247501,4.0,53914.91
2004,305422,3.4,45802.33
2023,53650,1.9,76384.89
2020,90126,4.3,82211.97
2017,177413,1.2,53985.12
2013,134312,2.3,56109.3
2011,230101,3.2,56428.89
2000,320000,3.4,43569.79
2005,182555,3.4,52893.2
2024,43516,3.0,78170.34
2009,320000,3.5,54199.04
2019,74127,4.3,79113.29
2019,69936,1.7,63976.47
2008,297409,4.1,54435.4
2005,320000,3.3,43695.27
2018,101622,3.8,78587.65
2002,320000,2.3,39589.53
2013,129770,3.8,70559.22
2023,33407,4.0,87364.24
2019,68823,2.1,71289.71
2020,88130,4.2,81504.3
2002,320000,2.3,38812.87
2005,320000,4.1,53386.99
2007,179130,2.5,53684.23
2007,186953,4.6,65733.37
2005,307516,3.3,45326.96
2026,0,4.1,93977.04
2004,301542,4.5,55364.14
2019,107780,2.9,70125.23
2015,138249,1.2,58054.86
2016,180398,1.3,57526.62
2005,320000,1.8,34736.42
2008,213441,1.6,51860.51
2016,198900,4.6,75923.06
2008,270300,4.2,59064.31
2018,104479,4.8,81595.8
2001,320000,1.7,29998.18
2001,320000,1.4,36233.45
2019,47967,2.6,76231.23
2016,94429,4.2,73536.66
2001,320000,4.6,51372.98
2024,31983,2.4,78444.91
2000,320000,2.0,32408.05
2025,0,1.5,79364.04
2019,157179,1.7,62256.94
2026,0,5.1,90304.31
2025,4286,2.9,90208.6
2008,320000,3.4,43634.66
2020,116799,1.5,67901.5
2005,194969,1.0,45329.02
2012,158886,4.7,73772.54
2006,240003,1.6,44314.14
2013,243188,1.2,50406.39
2023,37115,3.8,93434.67
2011,224666,1.9,55316.3
2002,243541,4.8,53035.51
2008,298484,3.0,46400.03
2021,90311,4.4,83685.2
2014,105733,1.2,55779.21
2015,179738,2.6,56210.34
2011,168246,5.2,69696.9
2007,320000,1.4,45156.79
2016,179571,4.4,67158.46
2017,86413,1.8,68114.37
2024,33189,4.9,87880.26
2016,164738,2.1,60739.31
2026,0,1.0,79665.48
2022,73299,4.2,86919.27
2002,303771,1.6,35167.42
2010,227688,4.7,63966.95
2010,158126,1.5,50802.51
2000,320000,2.6,37295.17
2004,320000,1.9,40842.09
2020,90113,1.4,65689.95
2009,195099,2.4,53041.02
2003,245710,1.7,40908.55
2007,287692,1.3,36638.76
2007,238072,2.8,47255.62
2004,320000,1.7,36918.98
2002,320000,5.1,51484.3
2020,79400,3.8,81499.33
2022,53696,4.3,93919.67
2013,208074,2.8,54473.48
2016,163078,3.4,64229.71
2024,13511,3.8,90308.16
2022,53788,2.9,76745.06
2000,320000,2.3,40715.15
2025,32486,2.0,82337.65
2001,251979,1.9,43545.23
2000,215515,3.9,49493.92
2010,264675,4.1,56612.22
2020,68852,1.4,66996.33
2002,320000,4.4,42956.22
2007,174289,3.7,64320.92
2007,320000,2.1,40187.15
2010,255917,4.7,65620.44
2026,20781,4.1,91801.56
2008,217287,1.8,45880.47
2005,238600,4.9,52478.35
2003,320000,2.2,42098.69
2005,320000,4.7,54166.51
2003,320000,4.0,48028.05
2015,120276,1.7,56831.56
2011,287934,4.6,59743.26
2013,131618,1.5,57926.0
2022,70456,2.1,72534.63
2015,157241,2.7,64011.44
2004,312566,1.7,37210.38
2010,178422,1.9,48367.5
2008,195315,2.9,51706.36
2022,85488,4.8,88429.82
2008,280844,3.3,49603.31
2003,320000,1.5,37068.88
2019,128443,3.2,72087.71
2011,154043,4.6,65729.03
2002,238780,4.1,52014.14
2018,119015,3.9,73232.54
2005,215995,2.9,52611.04
2023,41456,1.8,77893.48
2022,40720,4.2,87688.81
2009,277925,3.0,49780.81
2015,170409,3.4,64533.26
2015,105655,4.8,71140.98
2017,191402,3.0,61887.18
2001,320000,3.1,36924.47
2008,320000,1.9,45205.47
2004,223439,1.8,44621.82
2018,161144,2.7,64678.91
2001,320000,5.1,52347.33
2013,117341,1.8,57711.19
2019,121928,1.7,63687.67
2025,11938,1.9,80341.76
2007,260286,1.6,45443.15
2000,224712,2.9,43602.51
2019,82313,4.3,79918.49
2000,320000,5.1,52078.47
2001,320000,4.1,41164.43
2026,8128,5.0,95244.07
2023,40843,1.1,77454.7
2019,158856,3.1,71635.57
2022,91220,4.6,94464.91
2002,320000,1.8,38289.24
2002,232795,3.1,45613.15
2008,320000,5.2,55059.16
2000,320000,5.1,47133.95
2023,16462,5.2,94369.92
2001,320000,1.1,31729.38
2014,214374,2.9,57288.72
2023,39661,3.7,89664.24
2019,148033,1.3,69006.49
2006,320000,1.1,35646.76
2012,265926,3.7,59564.0
2014,144490,3.6,67890.61
2020,82614,1.3,70171.95
2011,163933,2.0,59094.91
2007,272583,4.0,52487.35
2021,60253,3.7,79455.07
2023,32737,2.6,81960.54
2013,217478,4.6,59935.73
2000,320000,1.2,31738.25
2013,170279,2.6,57466.39
2024,45020,1.7,77534.79
2026,10117,4.9,95407.09
2010,320000,3.5,56775.8
2004,205070,2.2,46862.33
2015,142805,4.9,74951.31
2022,19252,3.8,86205.91
2025,0,5.0,94426.97
2001,320000,2.4,37416.78
2007,320000,4.6,51958.72
2012,275156,3.7,59692.79
2002,320000,1.4,37615.73
2023,50381,2.2,79558.38
2003,320000,4.9,50078.41
2017,87821,3.0,73311.21
2024,33629,4.6,92395.39
2018,107674,4.4,75017.94
2020,95428,3.4,71551.52
2007,175572,5.0,63866.51
2022,49138,1.4,72891.37
2011,278634,1.6,48746.42
2001,212651,5.2,60273.73
2009,164122,5.1,66094.86
2009,315845,2.6,45318.66
2014,217345,2.8,61054.89
2007,164758,4.5,62255.2
2012,188558,2.2,50924.84
2011,168928,1.4,51809.51
2008,187475,3.5,57882.62
2018,68671,3.4,75000.93
2008,194821,4.1,58117.65
2020,87200,3.9,82121.62
2006,233775,2.9,49050.23
2023,44620,2.2,77386.63
2009,183493,3.3,59275.64
2001,227012,3.3,46317.16
2004,320000,4.7,51048.05
2021,83111,3.7,85956.45
2023,57795,2.4,81304.86
2005,209090,3.4,52193.57
2016,100265,3.0,69248.75
2015,187507,4.2,70266.03
2003,269429,3.5,47537.36
2012,199747,2.4,57374.67
2018,126683,1.1,64975.51
2026,0,1.7,86600.02
2022,25685,3.6,86021.46
2002,320000,2.5,40784.37
2006,292401,2.8,44678.55
2011,136320,2.0,56851.28
2004,216624,3.3,47676.38
2015,179070,3.7,71129.38
2000,206694,4.1,46386.53
2003,250955,1.3,36550.84
2001,320000,1.1,35853.68
2007,243937,4.5,61158.61
2020,48278,1.4,70628.37
2004,320000,1.4,35877.71
2026,0,3.9,89636.27
2007,320000,4.8,57265.84
2001,320000,2.0,32977.35
2009,153989,3.9,67925.47
2020,58496,4.1,82377.3
2002,225138,1.4,38901.4
2001,320000,1.8,31182.64
2022,74197,4.3,83664.74
2015,168500,3.2,63092.75
2009,320000,4.7,60828.32
2020,110633,5.0,84947.99
2022,67434,1.1,66449.35
2009,305021,4.3,55856.11
2015,148234,2.6,64019.1
2000,320000,1.5,35337.16
